Author,Title,Abstract,Keywords,Summary
A Jaina,Evaluation of the microangiographic fluoroscope (MAF) using generalized system performance metrics,"Cone beam computed tomography (CBCT) systems with rotational gantries that have standard flat panel detectors (FPD) are widely used for the 3D rendering of vascular structures using Feldkamp cone beam reconstruction algorithms. One of the inherent limitations of these systems is limited resolution (<3 lp/mm). There are systems available with higher resolution but their small FOV limits them to small animal imaging only. In this work, we report on region-of-interest (ROI) CBCT with a high resolution CMOS detector (75 μm pixels, 600 μm HR-CsI) mounted with motorized detector changer on a commercial FPD-based C-arm angiography gantry (194 μm pixels, 600 μm HL-CsI). A cylindrical CT phantom and neuro stents were imaged with both detectors. For each detector a total of 209 images were acquired in a rotational protocol. The technique parameters chosen for the FPD by the imaging system were used for the CMOS detector. The anti-scatter grid was removed and the incident scatter was kept the same for both detectors with identical collimator settings. The FPD images were reconstructed for the 10 cm x10 cm FOV and the CMOS images were reconstructed for a 3.84 cm × 3.84 cm FOV. Although the reconstructed images from the CMOS detector demonstrated comparable contrast to the FPD images, the reconstructed 3D images of the neuro stent clearly showed that the CMOS detector improved delineation of smaller objects such as the stent struts (~70 μm) compared to the FPD. Further development and the potential for substantial clinical impact are suggested.",,"This study demonstrates the use of a high-resolution CMOS detector in region-of-interest cone beam computed tomography (ROI CBCT) for improved visualization of small vascular structures. Compared to a standard flat panel detector, the CMOS detector achieved comparable contrast but significantly enhanced spatial resolution, enabling clearer delineation of stent struts. This advancement holds promise for clinical applications requiring high-resolution imaging of vascular anatomy."
A. A. Ross,Unique Local Features in Lip Images for Recognition,"The experiments are carried out from images taken with a camera that is used for the regular use. And the color features of a lip are not explored in the proposed research. Still the recognition system exploits the grayscale local features of a lip images and eﬃciently matches it with local features of another lip image. If the color properties of a lip image is explored for recognition along with local features, the accuracy values would increase further.","grayscale features, Lip Pattern Recognition, SIFT, lip recognition, color features, Biometric, Local Feature Extraction, local features, SURF",The paper presents the results of experiments on lip recognition using local features. The recognition system exploits the grayscale local features of lip images and achieves high accuracy. The authors suggest that exploring color properties of lip images could further improve the accuracy.
A. Al-Haj,Secure Robust and Imperceptible Algorithm for Watermarking Relational Databases,"This paper proposes a secure robust and imperceptible algorithm for watermarking relational databases. The algorithm divides the embedding algorithm into three phases: Watermark preparator, watermark position detector, and watermark embedder. The ownership identification issue is resolved by embedding owner's identity as watermark in Preparator phase.","imperceptible algorithm, Ownership identification, robust algorithm, Relational Database, watermarking, Watermark, Copyright protection, Proof of ownership, relational databases","The paper proposes a new robust secure and imperceptible embedding mechanism to resolve the two important concerns namely; owner identification and proof of ownership. The proposed mechanism involves encoding and decoding on numerical attribute of relational database in three phases; 1)Watermark preparator, 2)Watermark position detector and 3) Watermark Embedder or Detector."
A. Author,Design of VASNET: A Novel Topology for VANET,"The rapid increase of vehicular traffic and congestion on the highways began hampering the safe and efficient movement of traffic. Consequently, year by year, we see the ascending rate of car accidents and casualties in most of the countries. Therefore, exploiting the new technologies, e.g. wireless sensor networks, is required as a solution of reduction of these saddening and reprehensible statistics. This has motivated us to propose a novel and comprehensive system to utilize Wireless Sensor Networks for vehicular networks. We coin the vehicular network employing wireless Sensor networks as Vehicular Ad Hoc and Sensor Network, or VASNET in short. The proposed VASNET is particularly for highway traffic .VASNET is a self-organizing Ad Hoc and sensor network comprised of a large number of sensor nodes. In VASNET there are two kinds of sensor nodes, some are embedded on the vehicles-vehicular nodes- and others are deployed in predetermined distances besides the highway road, known as Road Side Sensor nodes (RSS). The vehicular nodes are used to sense the velocity of the vehicle for instance. We can have some Base Stations (BS) such as Police Traffic Station, Firefighting Group and Rescue Team. The base stations may be stationary or mobile. VASNET provides capability of wireless communication between vehicular nodes and stationary nodes, to increase safety and comfort for vehicles on the highway roads. In this paper we explain main fundamentals and challenges of VASNET.","Localization, Vehicular Ad Hoc and Sensor Network (VASNET), topology, Data Fusion, Wireless Sensor Networks (WSN), Vehicular Ad Hoc Networks (VANET), WSN, MANET, VANET, VASNET, Mobile Ad Hoc Networks (MANET), Routing","This paper proposes a novel system, VASNET, to utilize Wireless Sensor Networks for vehicular networks. VASNET is a self-organizing Ad Hoc and sensor network comprised of a large number of sensor nodes, including vehicular nodes and Road Side Sensor nodes. The system provides wireless communication between vehicular nodes and stationary nodes, increasing safety and comfort for vehicles on highway roads. The paper explains the main fundamentals and challenges of VASNET."
A. B. Molina,DWT based hybrid ARIMA-FLANN model for financial time series forecasting,"In this study, a DWT based hybrid ARIMA-FLANN model is introduced for financial time series forecasting. The most challenging task is to determine the exact nature of a real-world time series. ARIMA assumes linear data generation function, whereas FLANN is suitable for nonlinear financial time series. The DWT based hybrid method provides prior decomposition of time series data into low and high frequency components. So, that ARIMA is fitted on the high frequency linear part and FLANN is fitted on the low frequency nonlinear part. The final combined forecasts obtained for proposed hybrid method outperforms FLANN model.","FLANN, wavelet transform, financial time series forecasting, ARIMA, hybrid ARIMA-FLANN model, DWT","This paper introduces a DWT based hybrid ARIMA-FLANN model for financial time series forecasting. The model uses wavelet transform to decompose the time series into low and high frequency components, and then uses ARIMA and FLANN to forecast the linear and nonlinear parts of the time series, respectively. The results show that the proposed model outperforms the FLANN model in forecasting accuracy."
A. Cortesi,Secure Robust and Imperceptible Algorithm for Watermarking Relational Databases,"This paper proposes a secure robust and imperceptible algorithm for watermarking relational databases. The algorithm divides the embedding algorithm into three phases: Watermark preparator, watermark position detector, and watermark embedder. The ownership identification issue is resolved by embedding owner's identity as watermark in Preparator phase.","imperceptible algorithm, Ownership identification, robust algorithm, Relational Database, watermarking, Watermark, Copyright protection, Proof of ownership, relational databases","The paper proposes a new robust secure and imperceptible embedding mechanism to resolve the two important concerns namely; owner identification and proof of ownership. The proposed mechanism involves encoding and decoding on numerical attribute of relational database in three phases; 1)Watermark preparator, 2)Watermark position detector and 3) Watermark Embedder or Detector."
A. Deshpande,Secure Robust and Imperceptible Algorithm for Watermarking Relational Databases,"This paper proposes a secure robust and imperceptible algorithm for watermarking relational databases. The algorithm divides the embedding algorithm into three phases: Watermark preparator, watermark position detector, and watermark embedder. The ownership identification issue is resolved by embedding owner's identity as watermark in Preparator phase.","imperceptible algorithm, Ownership identification, robust algorithm, Relational Database, watermarking, Watermark, Copyright protection, Proof of ownership, relational databases","The paper proposes a new robust secure and imperceptible embedding mechanism to resolve the two important concerns namely; owner identification and proof of ownership. The proposed mechanism involves encoding and decoding on numerical attribute of relational database in three phases; 1)Watermark preparator, 2)Watermark position detector and 3) Watermark Embedder or Detector."
A. Estimating training values with sample data,Estimating Fire Events Using Naive Bayes and Tree Classifiers,"Extracting useful temporal and spatial patterns from sensor data has been seen before, the technical basis of Machine learning with Data mining is studied with the evidence collected uniformly over many years and which allow using users' perspective in collected evidence.","WEKA machine learning framework, Machine Learning, Naive Bayes, Forest fires, Fire Weather Index (FWI), UCI Forest Fire Repository, Tree Classifiers, Temporal Patterns, Datamining, Fire Events",The paper discusses the use of machine learning and datamining algorithms to predict accidental small forest fires. The authors propose a model that uses temporal and spatial patterns from sensor data to forecast fires and help the forest department plan day-to-day schedules.
A. Gangopadhyay,DWT based hybrid ARIMA-FLANN model for financial time series forecasting,"In this study, a DWT based hybrid ARIMA-FLANN model is introduced for financial time series forecasting. The most challenging task is to determine the exact nature of a real-world time series. ARIMA assumes linear data generation function, whereas FLANN is suitable for nonlinear financial time series. The DWT based hybrid method provides prior decomposition of time series data into low and high frequency components. So, that ARIMA is fitted on the high frequency linear part and FLANN is fitted on the low frequency nonlinear part. The final combined forecasts obtained for proposed hybrid method outperforms FLANN model.","FLANN, wavelet transform, financial time series forecasting, ARIMA, hybrid ARIMA-FLANN model, DWT","This paper introduces a DWT based hybrid ARIMA-FLANN model for financial time series forecasting. The model uses wavelet transform to decompose the time series into low and high frequency components, and then uses ARIMA and FLANN to forecast the linear and nonlinear parts of the time series, respectively. The results show that the proposed model outperforms the FLANN model in forecasting accuracy."
A. J. Conejo,DWT based hybrid ARIMA-FLANN model for financial time series forecasting,"In this study, a DWT based hybrid ARIMA-FLANN model is introduced for financial time series forecasting. The most challenging task is to determine the exact nature of a real-world time series. ARIMA assumes linear data generation function, whereas FLANN is suitable for nonlinear financial time series. The DWT based hybrid method provides prior decomposition of time series data into low and high frequency components. So, that ARIMA is fitted on the high frequency linear part and FLANN is fitted on the low frequency nonlinear part. The final combined forecasts obtained for proposed hybrid method outperforms FLANN model.","FLANN, wavelet transform, financial time series forecasting, ARIMA, hybrid ARIMA-FLANN model, DWT","This paper introduces a DWT based hybrid ARIMA-FLANN model for financial time series forecasting. The model uses wavelet transform to decompose the time series into low and high frequency components, and then uses ARIMA and FLANN to forecast the linear and nonlinear parts of the time series, respectively. The results show that the proposed model outperforms the FLANN model in forecasting accuracy."
