Removed_Author
A. Author
A. Estimating training values with sample data
AbdulMajid et al.
Author Name
Author Not Specified
Author not specified
BANERJEE ET AL
Bateman et al.
Berman et al.
Bhatia et al.
CHEN et al.
Cardei et al.
Coello et al.
D. Sinwar et al.
Deb et al.
Dhou et al.
Diaz et al.
Felix et al.
Foster et al
Gohel et al.
Guofeng Yang et al.
Hafemann et al.
Hall et al.
Huang et al.
Iacca et al.
International Journal of Trend in Scientific Research and Development (IJTSRD)
Jamil Ahmad et al.
"Jena, D."
Jitschin et al
KANIIKA ET AL.
Khanuja et al.
Kitsak et al.
Koukias et al.
LIM et al.
Li Ma et al.
Lin et al.
Lohmann et al.
López et al.
MUSTAFA et al.
Mandelli et al.
Muhammad Attique khan et al.
Na Li
Nag et al.
Neri et al.
Nikula et al.
PRADHAN et al.
Parziale et al.
Patrick Wspanialy et al.
Porwik et al.
RAO et al.
RUCHI MITTAL et al.
Rudresh Dwivedi et al.
S. K. Pal et al.
S. Nedunuri et al.
SWAMY et al.
"Sachithra Lokuge of RMIT University, Australia; Thilini Ariyachandra of Xavier University, USA; and Saj Kumar, Vice President of Internet-of-things at SAP"
Sharif et al.
Singh et al.
Sivasubramaniam Janarthan et al.
Sukhija et al.
Tang et al.
Unknown
WANG et al.
WEN et al.
Wang et al.
Wu et al.
Zalasinski et al.
Zhan et al.
Zitzler et al.
Zouari et al.
[10]
[11]
[12]
[13]
[14]
[15]
[16]
[17]
[18]
[4]
[7]
[8]
[9]
[Unknown]
de Graaf et al.
et al
et al.
van der Heijden
van der Horst
van der Linden
van der Velde
van der Weijden
